target_idx,e_mse,e_h,e_v,e_comb
0.0,0.030878258227765156,1.7123567328802816,1.1055370853030615,2.037871996950387
1.0,0.043753865586169824,1.00664221003591,1.1363536368520075,1.5179251284866995
2.0,0.0760014518589194,1.4927596057823391,1.0444387625793135,1.8215917001700044
3.0,0.10633530776867997,1.352514711411272,1.3511714342589836,1.9114402899711065
4.0,0.02945824038620566,1.563187505875221,1.0169567646828876,1.8645991085406162
5.0,0.061591290307341715,1.7739497381946256,1.0781990884633479,2.0755541558564548
6.0,0.06843298056079451,1.2742658812400518,0.9092969772515456,1.5652569299275645
7.0,0.10058877052678182,1.3086897643330262,1.1585426068770956,1.7475572304869242
8.0,0.03557312778848889,1.8029411494337508,1.4049046495105248,2.2851144933449214
9.0,0.08608639706816434,2.083906834266569,2.2259795593689806,3.047772152922456
10.0,0.08351319714762939,1.2741930343375312,1.4853358958172695,1.9566133762423459
11.0,0.11888130318139867,1.213262243621541,1.780505744635541,2.1541380377049504
12.0,0.029693591542361363,1.1524843869112642,1.4865187159475082,1.8806291901732421
13.0,0.08032914747777863,1.3240941206732877,2.3884325476397072,2.7301597833076614
14.0,0.0962454112386529,1.5331381074848478,1.639523678519413,2.2440999231019574
15.0,0.10423039410119585,0.7995887379704948,1.6227038511924032,1.8088189715407033
16.0,0.026799064070847867,1.1129918982734472,1.2215327715458337,1.652314313511026
17.0,0.04782621977939412,0.7978466009217229,1.3651616111226574,1.5810577376564596
18.0,0.06457690848957016,0.8860945174109467,1.1663607916257146,1.4646252677942377
19.0,0.09056669560349294,0.8390836991932457,1.3128241965358252,1.5579075619791047
20.0,0.03503443761599371,1.094720654274837,1.8853335160538254,2.1797168483601523
21.0,0.055006522580164384,0.8536682513255425,1.6073028567294425,1.8197272383605847
22.0,0.07231642435065906,0.9275447995757309,1.3483042544676023,1.6363460785666637
23.0,0.0991392954616329,0.8590301046253496,1.465797251435096,1.69877906755078
24.0,0.026487462098506196,1.1797841398730957,1.2969905617758906,1.753032864278265
25.0,0.049785539603694966,1.3733961918284978,1.0590516582694265,1.734055451441995
26.0,0.09930281003362607,1.9019192094936286,1.495721750516167,2.418924087302002
27.0,0.11186389304076887,1.5672035420807946,1.2588138863765612,2.0097658326251633
28.0,0.03392693982106751,1.368985377388186,1.6820413349484598,2.1682321423655746
29.0,0.06730146124888316,1.3417495725297635,1.8682092894275815,2.299553430672977
30.0,0.09667777694201232,1.454218348315828,1.6878342629660725,2.227350197245258
31.0,0.11534797650245292,0.983147105844512,1.7801820155107972,2.0333179807907724
32.0,0.045252786168401164,2.024336456392628,2.1898911661625595,2.980869219037358
33.0,0.06989151861521606,1.6121615916344052,1.7801125982380293,2.400941743157658
34.0,0.09708298612062545,1.7599621439334803,1.4722300747010268,2.293948922793602
35.0,0.1277362846074105,1.814022794730114,1.3744597840916746,2.2753667200748477
