frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
depth,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,,,,,,,
target_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,,,,,,
e_mse,0.04170112,0.053910952,0.11108262,0.180156123,0.036204452,0.066051053,0.075648361,0.157734736,0.046852085,0.191792065,0.134035557,0.216745808,0.030340839,0.16379398,0.14466723,0.140769736,0.030553565,0.046841791,0.071288313,0.109630411,0.053162194,0.067876916,0.08011379,0.15512001,0.031620051,0.071156646,0.14584593,0.137629043,0.037136689,0.10144727,0.117808218,0.139821246,0.086651257,0.080192554,0.167614966,0.16413802,,,,,,,
e_h,2.100728019,1.292894288,2.100343006,2.118133237,1.920831523,2.028010499,1.46790406,2.394544487,2.113654656,4.677797647,1.004977053,1.470730009,1.184987838,1.43081825,2.316086709,0.939131774,1.082695172,0.858153713,0.813458781,0.987826799,1.247269555,1.190898445,1.084413769,1.019888819,1.320616205,1.829065931,2.811247641,1.743808775,1.521454206,2.594519028,1.251535203,1.387450837,4.0696414,1.785129055,2.789263307,2.218614739,,,,,,,
e_v,1.887797676,1.401807704,1.783490496,2.539183585,1.333671011,0.965283591,0.978414823,1.390293245,2.259805953,5.186558298,3.071078107,3.831158332,1.543277887,5.341293864,2.444650262,2.261986435,1.576511121,1.310961762,1.412762447,1.620661623,3.121674213,1.95029463,1.487052237,2.487253522,1.698406559,1.760142672,2.288319098,1.889551232,1.913257621,2.33457516,2.524286283,2.0826292,4.319485233,2.220432215,2.991261994,2.044638602,,,,,,,
e_comb_target,2.82319886,1.906647968,2.754374852,3.304874547,2.337863723,2.245671855,1.763859438,2.768078154,3.092732596,6.967308244,3.230730966,4.102182203,1.945390592,5.527448899,3.365643397,2.448819557,1.912180135,1.566695405,1.630054134,1.897710431,3.360709202,2.284665658,1.840168864,2.687747718,2.150946043,2.537592446,3.622528635,2.570382058,2.443754577,3.488104539,2.816790088,2.501793978,5.924064215,2.847915851,4.086487028,3.015699334,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
depth,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,,,,,,,
target_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,,,,,,
e_mse,0.036282542,0.043726218,0.066593461,0.120096522,0.034378235,0.057697428,0.075669231,0.100257097,0.042008071,0.079141469,0.085523783,0.13642852,0.029140719,0.087470468,0.122185277,0.090433727,0.025448254,0.032391079,0.057448126,0.077399509,0.033614527,0.057963917,0.072004774,0.103434726,0.021735336,0.047798011,0.100809207,0.109477516,0.031455008,0.068718264,0.105795838,0.124280277,0.032747747,0.070952066,0.099531838,0.124937346,,,,,,,
e_h,2.059695464,0.955158915,1.187798874,1.597808061,1.89875752,1.711578716,1.519714258,1.48857934,1.954612603,2.029729188,1.27016823,1.538584955,1.044754679,1.04251668,1.911311654,0.816569902,1.009180763,0.617526162,0.551920166,0.739344956,1.024098862,0.993711104,0.985064288,1.137562012,0.990013924,1.311749989,1.856693426,1.354724864,0.84015667,1.08806664,1.708717597,0.784580239,1.434986941,1.47252453,1.71116362,1.655336603,,,,,,,
e_v,1.220016963,1.144176684,1.058331169,1.456677831,1.08715736,0.923428116,0.839171301,0.875333788,1.879781251,1.846772943,1.539022814,1.881572572,1.526401414,2.748236164,2.102200952,1.338251332,1.21098753,0.874448978,1.175944888,1.103311786,1.822256732,1.628720163,1.301694127,1.36645802,1.048340163,1.030733949,1.582893689,1.39647452,1.839733176,2.098625915,1.737464501,2.041006057,1.530960538,1.925786377,1.594894703,1.493299756,,,,,,,
e_comb_target,2.393370419,1.490296535,1.590688289,2.161643105,2.187569525,1.944532459,1.735822365,1.726669652,2.710831211,2.743112297,1.99508562,2.429846807,1.849427137,2.93875914,2.840036156,1.567551597,1.576175762,1.07045838,1.298957715,1.328027711,2.089972123,1.90764965,1.632204487,1.777715821,1.441772238,1.668040185,2.439130015,1.945242151,2.022253888,2.363472356,2.436169001,2.186373656,2.097872167,2.423575011,2.338534873,2.228811783,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
depth,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,,,,,,,
target_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,,,,,,
e_mse,0.025963969,0.038611888,0.056413656,0.083946918,0.028242002,0.055042423,0.066865889,0.05149849,0.025286538,0.06287296,0.060695943,0.103962881,0.029557498,0.044209075,0.088824377,0.094121606,0.02487627,0.043619404,0.057267781,0.079238341,0.034821017,0.060857607,0.071300294,0.073187113,0.02369658,0.052732547,0.104833844,0.095994406,0.030948512,0.063856576,0.070812574,0.112585833,0.034312688,0.065587098,0.067618174,0.115661413,,,,,,,
e_h,1.480538704,0.940343772,1.02947783,1.000549342,1.550811972,1.565039975,1.282183383,0.521410007,1.266620857,1.74753968,1.149534346,1.422214236,1.0446223,0.911870849,1.438952215,0.877453372,1.115105295,0.786215771,0.774643136,0.682334118,1.326173646,0.925026587,0.920960297,0.594666558,1.153949192,1.207238795,2.046261971,1.29843748,1.192682629,0.845056958,0.897245811,0.611547598,1.161537855,1.604983016,0.932300263,1.538293092,,,,,,,
e_v,0.850364156,0.949780186,0.843037004,1.114307918,0.897510374,0.989032047,0.821062524,0.681375692,0.970094208,1.251430099,0.771532102,1.135049226,1.539514455,1.198625488,1.505781478,1.3829135,1.049689757,1.208071889,1.047022519,1.178456562,1.699306799,1.792751481,1.315438381,1.081585504,1.043238228,1.350332675,1.484043119,1.12536235,1.572846599,2.017509995,1.349432098,1.882295659,1.872002875,1.562280581,1.264444958,1.353501752,,,,,,,
e_comb_target,1.707181957,1.336414924,1.330499934,1.497423212,1.791579125,1.851097348,1.522395401,0.857956854,1.595242294,2.148960174,1.384330712,1.819332773,1.860185493,1.50589718,2.082319554,1.637612935,1.531258293,1.441251721,1.302329054,1.361644996,2.155067887,2.017056004,1.605599552,1.234215334,1.555427965,1.81100651,2.527019358,1.717996846,1.973552404,2.187072641,1.620315286,1.979012076,2.202644908,2.239227059,1.570808845,2.048548776,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
depth,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,,,,,,,
target_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,,,,,,
