,e_mse,e_h,e_v,e_comb
0,0.11436090968405897,1.8739615197356496,2.6037408638648425,3.2064824638869123
1,0.08997481076023095,1.4849957144965635,1.833569353474519,2.358850988692834
2,0.07467201341900773,1.2891269829465488,1.4876047153322864,1.9680758652537862
3,0.0693011907989069,1.170940242939447,1.3245176487794634,1.7676173688309094
4,0.06588871342218637,1.1747113235496427,1.257839262872845,1.7208194589003092
5,0.06182034977359387,1.0687965327577427,1.1788728853296098,1.5910444867786075
6,0.05589916889854343,1.0179157153050387,1.0963802538467506,1.4958931184343878
7,0.05534190136883043,1.0542829479384848,1.1046676469895456,1.5268438947729546
8,0.05771707881980729,1.1132391125899406,1.1431744993200388,1.5954596509137593
9,0.06002385060274262,1.194905778702061,1.1554210053568776,1.661933631267765
